Aoi Watanabe,aoi_watanabe@example.com,F,19,1056,63,44,59,48,57
Aoi Watanabe,aoi_watanabe@example.com,F,18,1110,45,51,45,62,60
Aoi Watanabe,aoi_watanabe@example.com,F,24,1116,55,63,59,61,63
Aoi Watanabe,aoi_watanabe@example.com,F,23,1587,44,59,63,55,44
Aoi Watanabe,aoi_watanabe@example.com,F,18,1918,62,63,53,60,60
Aoi Watanabe,aoi_watanabe@example.com,F,18,2268,60,38,63,43,57
Aoi Watanabe,aoi_watanabe@example.com,F,24,2581,50,46,62,46,56
Aoi Watanabe,aoi_watanabe@example.com,F,22,2787,59,56,56,38,54
Aoi Watanabe,aoi_watanabe@example.com,M,19,2978,56,53,61,53,54
Aoi Watanabe,aoi_watanabe@example.com,F,20,3183,36,49,46,45,62
Aoi Watanabe,aoi_watanabe@example.com,F,20,3185,64,45,53,43,55
Aoi Watanabe,aoi_watanabe@example.com,F,21,3726,57,57,57,50,60
Aoi Watanabe,aoi_watanabe@example.com,F,25,4091,61,37,59,46,48
Aoi Watanabe,aoi_watanabe@example.com,F,22,5106,53,48,55,62,54
Aoi Watanabe,aoi_watanabe@example.com,M,22,5125,54,54,53,64,50
Aoi Watanabe,aoi_watanabe@example.com,F,20,5854,52,44,40,47,57
Aoi Watanabe,aoi_watanabe@example.com,F,18,5907,60,48,47,57,43
Aoi Watanabe,aoi_watanabe@example.com,F,24,5930,38,37,55,44,45
Haruto Suzuki,haruto_suzuki@example.com,F,20,1724,62,57,43,41,62
Haruto Suzuki,haruto_suzuki@example.com,F,20,3097,49,57,49,61,63
Haruto Suzuki,haruto_suzuki@example.com,F,21,3303,50,54,47,57,42
Haruto Suzuki,haruto_suzuki@example.com,M,19,3728,56,58,53,63,50
Haruto Suzuki,haruto_suzuki@example.com,F,23,3876,47,53,45,48,41
Haruto Suzuki,haruto_suzuki@example.com,F,25,3894,43,53,58,47,50
Haruto Suzuki,haruto_suzuki@example.com,F,18,3948,47,53,51,46,46
Haruto Suzuki,haruto_suzuki@example.com,F,25,4516,37,59,53,56,39
Haruto Suzuki,haruto_suzuki@example.com,F,23,4662,41,55,44,43,37
Haruto Suzuki,haruto_suzuki@example.com,F,23,5363,48,46,46,52,50
Haruto Suzuki,haruto_suzuki@example.com,F,19,5390,48,62,52,45,51
Haruto Suzuki,haruto_suzuki@example.com,F,22,5953,48,60,37,50,46
Kaito Ito,kaito_ito@example.com,F,18,1001,60,57,55,37,59
Kaito Ito,kaito_ito@example.com,F,21,1004,46,42,46,54,49
Kaito Ito,kaito_ito@example.com,F,20,1391,64,58,44,43,56
